局番号,観測所名,観測時刻,10分雨量[mm],10分雨量フラグ,60分雨量[mm],60分雨量フラグ,24時間雨量[mm],24時間雨量フラグ,累加雨量[mm],累加雨量フラグ,降雨（累加雨量）開始時刻,降雨（累加雨量）開始時刻フラグ
169,奥池,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
170,清水,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
171,楊津,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
172,大原野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
173,高平,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
174,伏見台,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
175,倉床,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
176,西深,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
177,安積,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
178,上野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
179,宍粟中野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
180,河内,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
181,榎列,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
182,福良,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
183,楠本,2023/11/27 03:30,,190,,190,,190,,190,,190
185,坊勢,2023/11/27 03:30,,140,,140,,140,,140,,140
186,但東ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
187,中山手,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
188,平野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
189,大沢,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
190,箕谷,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
191,六甲山,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
192,伊川谷,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
193,権現,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
194,魚住,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
195,天川水門,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
199,みくまりダム,2023/11/27 03:30,,190,,190,,190,,190,,190
200,尼崎港,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
201,中野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
202,与布土ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
203,栗柄ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
204,金出地ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
205,明石川,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
