全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
272035,0000000039,大阪府豊中市,奥野家住宅主屋 附粉搗場,オクノケジュウタクシュオク　ツキコナヒキバ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778582,135.469164,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000040,大阪府豊中市,奥野家住宅門長屋,オクノケジュウタクモンナガヤ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.77864,135.468964,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000041,大阪府豊中市,奥野家住宅西蔵,オクノケジュウタクニシグラ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778716,135.468956,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000042,大阪府豊中市,奥野家住宅米蔵,オクノケジュウタクコメグラ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778782,135.469018,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000043,大阪府豊中市,奥野家住宅東蔵,オクノケジュウタクヒガシクラ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778761,135.469133,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000044,大阪府豊中市,奥野家住宅新蔵,オクノケジュウタクシングラ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778352,135.469161,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000045,大阪府豊中市,奥野家住宅中門 附属脇塀,オクノケジュウタクチュウモン　フゾクワキベイ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.778415,135.468985,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000046,大阪府豊中市,奥野家住宅露地門及び高塀,オクノケジュウタクロジモンオヨビタカベイ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市中桜塚2,大阪府,豊中市,中桜塚2,,,34.77845,135.469177,,,,,,,,,,,,,39652,,,,,,,,,,,,
272035,0000000047,大阪府豊中市,上田家住宅主屋,ウエダケジュウタクシュオク,,,国登録有形文化財,建造物,,272035,,大阪府豊中市東豊中町3,大阪府,豊中市,東豊中町3,,,34.801438,135.481968,,,,,,,,,,,,,41134,,,,,,,,,,,,
272035,0000000048,大阪府豊中市,上田家住宅離れ,ウエダケジュウタクハナレ,,,国登録有形文化財,建造物,,272035,,大阪府豊中市東豊中町3,大阪府,豊中市,東豊中町3,,,34.80156,135.482057,,,,,,,,,,,,,41134,,,,,,,,,,,,
