時点,年齢（歳）,男（人）,女（人）
2023/8/1,118,0,0
2023/8/1,119,0,0
2023/8/1,120,0,0
2023/9/1,0,1108,1035
2023/9/1,1,1224,1126
2023/9/1,2,1142,1214
2023/9/1,3,1289,1241
2023/9/1,4,1347,1294
2023/9/1,5,1345,1403
2023/9/1,6,1377,1318
2023/9/1,7,1485,1344
2023/9/1,8,1543,1403
2023/9/1,9,1470,1459
2023/9/1,10,1518,1412
2023/9/1,11,1551,1409
2023/9/1,12,1541,1416
2023/9/1,13,1547,1469
2023/9/1,14,1415,1432
2023/9/1,15,1557,1407
2023/9/1,16,1483,1427
2023/9/1,17,1435,1423
2023/9/1,18,1452,1401
2023/9/1,19,1429,1500
2023/9/1,20,1536,1449
2023/9/1,21,1654,1532
2023/9/1,22,1701,1587
2023/9/1,23,1695,1615
2023/9/1,24,1529,1606
2023/9/1,25,1524,1544
2023/9/1,26,1547,1530
2023/9/1,27,1435,1551
2023/9/1,28,1462,1503
2023/9/1,29,1488,1519
2023/9/1,30,1436,1483
2023/9/1,31,1460,1499
2023/9/1,32,1513,1570
2023/9/1,33,1461,1536
2023/9/1,34,1583,1573
2023/9/1,35,1561,1616
2023/9/1,36,1617,1629
2023/9/1,37,1682,1797
2023/9/1,38,1783,1814
2023/9/1,39,1905,1881
2023/9/1,40,1848,1871
2023/9/1,41,1872,1942
2023/9/1,42,1833,1944
2023/9/1,43,1947,2048
2023/9/1,44,1993,2020
2023/9/1,45,2044,2062
2023/9/1,46,2101,2152
2023/9/1,47,2076,2208
2023/9/1,48,2158,2253
2023/9/1,49,2327,2321
2023/9/1,50,2327,2236
2023/9/1,51,2178,2186
2023/9/1,52,2024,2196
2023/9/1,53,2011,2130
2023/9/1,54,2032,2095
2023/9/1,55,1945,2053
2023/9/1,56,1854,2056
2023/9/1,57,1559,1700
2023/9/1,58,1756,1996
2023/9/1,59,1703,1916
2023/9/1,60,1720,1792
2023/9/1,61,1694,1857
2023/9/1,62,1655,1803
2023/9/1,63,1650,1896
2023/9/1,64,1771,1857
2023/9/1,65,1691,1859
2023/9/1,66,1698,1814
2023/9/1,67,1724,1936
2023/9/1,68,1840,1940
2023/9/1,69,1732,1974
2023/9/1,70,1834,2133
2023/9/1,71,1953,2186
2023/9/1,72,2081,2271
2023/9/1,73,1996,2437
2023/9/1,74,2248,2588
2023/9/1,75,2056,2393
2023/9/1,76,1778,2304
2023/9/1,77,948,1358
2023/9/1,78,1096,1558
2023/9/1,79,1254,1750
2023/9/1,80,1131,1694
2023/9/1,81,1173,1611
2023/9/1,82,1122,1659
2023/9/1,83,918,1490
2023/9/1,84,763,1301
2023/9/1,85,747,1270
2023/9/1,86,652,1330
2023/9/1,87,578,1206
2023/9/1,88,537,1185
2023/9/1,89,425,976
2023/9/1,90,378,932
2023/9/1,91,284,794
2023/9/1,92,181,650
2023/9/1,93,174,531
2023/9/1,94,122,451
2023/9/1,95,90,354
2023/9/1,96,73,272
2023/9/1,97,36,220
2023/9/1,98,31,137
2023/9/1,99,18,100
2023/9/1,100,9,73
2023/9/1,101,4,51
2023/9/1,102,0,39
2023/9/1,103,1,22
2023/9/1,104,0,6
2023/9/1,105,0,4
2023/9/1,106,0,4
2023/9/1,107,0,4
2023/9/1,108,0,0
2023/9/1,109,0,0
2023/9/1,110,0,0
2023/9/1,111,0,0
2023/9/1,112,0,0
2023/9/1,113,0,0
2023/9/1,114,0,0
2023/9/1,115,0,0
2023/9/1,116,0,0
2023/9/1,117,0,0
2023/9/1,118,0,0
2023/9/1,119,0,0
2023/9/1,120,0,0
