時点,年齢（歳）,男（人）,女（人）
2023/2/1,68,1803,2024
2023/2/1,69,1789,2075
2023/2/1,70,1875,2119
2023/2/1,71,2074,2239
2023/2/1,72,2039,2375
2023/2/1,73,2222,2561
2023/2/1,74,2209,2519
2023/2/1,75,1965,2415
2023/2/1,76,1357,1790
2023/2/1,77,960,1356
2023/2/1,78,1245,1737
2023/2/1,79,1217,1737
2023/2/1,80,1197,1664
2023/2/1,81,1190,1645
2023/2/1,82,1044,1629
2023/2/1,83,863,1456
2023/2/1,84,756,1219
2023/2/1,85,784,1475
2023/2/1,86,618,1231
2023/2/1,87,618,1283
2023/2/1,88,519,1103
2023/2/1,89,429,992
2023/2/1,90,372,906
2023/2/1,91,248,731
2023/2/1,92,202,650
2023/2/1,93,161,541
2023/2/1,94,124,443
2023/2/1,95,92,337
2023/2/1,96,69,279
2023/2/1,97,41,199
2023/2/1,98,32,145
2023/2/1,99,14,110
2023/2/1,100,7,80
2023/2/1,101,6,64
2023/2/1,102,3,31
2023/2/1,103,0,18
2023/2/1,104,0,7
2023/2/1,105,0,4
2023/2/1,106,0,7
2023/2/1,107,0,1
2023/2/1,108,0,0
2023/2/1,109,0,0
2023/2/1,110,0,0
2023/2/1,111,0,0
2023/2/1,112,0,0
2023/2/1,113,0,0
2023/2/1,114,0,0
2023/2/1,115,0,0
2023/2/1,116,0,0
2023/2/1,117,0,0
2023/2/1,118,0,0
2023/2/1,119,0,0
2023/2/1,120,0,0
2023/3/1,0,1186,1068
2023/3/1,1,1189,1161
2023/3/1,2,1215,1178
2023/3/1,3,1323,1327
2023/3/1,4,1334,1324
2023/3/1,5,1362,1371
2023/3/1,6,1446,1284
2023/3/1,7,1479,1379
2023/3/1,8,1533,1411
2023/3/1,9,1522,1444
2023/3/1,10,1541,1395
2023/3/1,11,1541,1414
2023/3/1,12,1578,1437
2023/3/1,13,1387,1477
2023/3/1,14,1506,1401
2023/3/1,15,1490,1395
2023/3/1,16,1511,1456
2023/3/1,17,1385,1353
2023/3/1,18,1477,1442
2023/3/1,19,1416,1425
2023/3/1,20,1546,1493
2023/3/1,21,1614,1544
2023/3/1,22,1639,1545
2023/3/1,23,1510,1601
2023/3/1,24,1539,1602
2023/3/1,25,1482,1511
2023/3/1,26,1514,1497
2023/3/1,27,1399,1510
2023/3/1,28,1504,1532
2023/3/1,29,1473,1515
2023/3/1,30,1478,1537
2023/3/1,31,1492,1541
2023/3/1,32,1506,1527
2023/3/1,33,1456,1549
2023/3/1,34,1613,1605
2023/3/1,35,1602,1622
2023/3/1,36,1621,1690
2023/3/1,37,1739,1763
2023/3/1,38,1829,1862
2023/3/1,39,1882,1920
2023/3/1,40,1849,1847
2023/3/1,41,1894,1963
2023/3/1,42,1839,1955
2023/3/1,43,1943,2040
2023/3/1,44,2060,2059
2023/3/1,45,2069,2129
2023/3/1,46,2091,2129
2023/3/1,47,2073,2257
2023/3/1,48,2310,2311
2023/3/1,49,2325,2304
2023/3/1,50,2210,2201
2023/3/1,51,2147,2213
2023/3/1,52,1941,2153
2023/3/1,53,2061,2083
2023/3/1,54,1989,2066
2023/3/1,55,1950,2161
2023/3/1,56,1591,1702
2023/3/1,57,1743,1929
2023/3/1,58,1737,1987
2023/3/1,59,1686,1813
2023/3/1,60,1654,1841
2023/3/1,61,1698,1782
2023/3/1,62,1666,1857
2023/3/1,63,1705,1860
2023/3/1,64,1718,1899
2023/3/1,65,1664,1749
2023/3/1,66,1748,1892
2023/3/1,67,1766,1913
2023/3/1,68,1812,1985
2023/3/1,69,1788,2056
2023/3/1,70,1842,2132
2023/3/1,71,2084,2225
2023/3/1,72,2023,2356
2023/3/1,73,2176,2574
2023/3/1,74,2219,2513
2023/3/1,75,2015,2418
2023/3/1,76,1429,1903
2023/3/1,77,923,1304
2023/3/1,78,1238,1703
2023/3/1,79,1204,1748
2023/3/1,80,1198,1681
2023/3/1,81,1200,1634
2023/3/1,82,1033,1608
2023/3/1,83,884,1480
2023/3/1,84,746,1227
2023/3/1,85,791,1461
2023/3/1,86,617,1263
2023/3/1,87,607,1233
2023/3/1,88,545,1140
2023/3/1,89,424,1002
2023/3/1,90,372,888
2023/3/1,91,248,768
2023/3/1,92,207,627
2023/3/1,93,167,552
2023/3/1,94,125,451
2023/3/1,95,93,330
2023/3/1,96,71,297
2023/3/1,97,37,198
2023/3/1,98,33,150
2023/3/1,99,15,105
2023/3/1,100,7,72
2023/3/1,101,5,64
2023/3/1,102,3,31
2023/3/1,103,0,23
2023/3/1,104,0,7
2023/3/1,105,0,3
2023/3/1,106,0,6
2023/3/1,107,0,2
2023/3/1,108,0,0
2023/3/1,109,0,0
2023/3/1,110,0,0
2023/3/1,111,0,0
2023/3/1,112,0,0
2023/3/1,113,0,0
2023/3/1,114,0,0
2023/3/1,115,0,0
2023/3/1,116,0,0
2023/3/1,117,0,0
2023/3/1,118,0,0
2023/3/1,119,0,0
2023/3/1,120,0,0
2023/4/1,0,1177,1065
2023/4/1,1,1205,1149
2023/4/1,2,1182,1187
2023/4/1,3,1307,1324
2023/4/1,4,1349,1304
2023/4/1,5,1349,1390
2023/4/1,6,1426,1258
2023/4/1,7,1502,1382
2023/4/1,8,1519,1396
2023/4/1,9,1513,1493
2023/4/1,10,1540,1404
2023/4/1,11,1528,1386
2023/4/1,12,1603,1423
2023/4/1,13,1400,1490
2023/4/1,14,1507,1400
2023/4/1,15,1501,1388
2023/4/1,16,1499,1466
2023/4/1,17,1420,1372
2023/4/1,18,1429,1419
2023/4/1,19,1402,1442
2023/4/1,20,1543,1458
2023/4/1,21,1616,1554
2023/4/1,22,1738,1564
2023/4/1,23,1570,1590
2023/4/1,24,1552,1614
2023/4/1,25,1522,1515
2023/4/1,26,1501,1495
2023/4/1,27,1395,1494
2023/4/1,28,1503,1550
2023/4/1,29,1483,1505
2023/4/1,30,1464,1521
2023/4/1,31,1493,1521
2023/4/1,32,1511,1551
2023/4/1,33,1443,1535
2023/4/1,34,1610,1628
2023/4/1,35,1597,1588
2023/4/1,36,1612,1699
2023/4/1,37,1754,1747
2023/4/1,38,1808,1870
2023/4/1,39,1886,1908
2023/4/1,40,1847,1872
2023/4/1,41,1881,1922
2023/4/1,42,1840,1996
2023/4/1,43,1946,1996
2023/4/1,44,2030,2074
2023/4/1,45,2103,2126
2023/4/1,46,2085,2119
2023/4/1,47,2061,2260
2023/4/1,48,2280,2289
2023/4/1,49,2319,2323
2023/4/1,50,2260,2187
2023/4/1,51,2157,2214
2023/4/1,52,1930,2166
2023/4/1,53,2060,2098
2023/4/1,54,1977,2071
2023/4/1,55,1913,2102
2023/4/1,56,1682,1787
2023/4/1,57,1712,1881
2023/4/1,58,1722,1999
2023/4/1,59,1699,1815
2023/4/1,60,1647,1823
2023/4/1,61,1728,1796
2023/4/1,62,1647,1839
2023/4/1,63,1675,1857
2023/4/1,64,1732,1871
2023/4/1,65,1688,1789
2023/4/1,66,1723,1868
2023/4/1,67,1731,1939
2023/4/1,68,1833,1965
2023/4/1,69,1779,2038
2023/4/1,70,1827,2136
2023/4/1,71,2067,2226
2023/4/1,72,2048,2329
2023/4/1,73,2114,2547
2023/4/1,74,2251,2534
2023/4/1,75,2025,2406
2023/4/1,76,1530,2031
2023/4/1,77,887,1265
2023/4/1,78,1197,1693
2023/4/1,79,1187,1718
2023/4/1,80,1193,1697
2023/4/1,81,1198,1615
2023/4/1,82,1058,1613
2023/4/1,83,904,1468
2023/4/1,84,734,1231
2023/4/1,85,792,1422
2023/4/1,86,644,1283
2023/4/1,87,592,1232
2023/4/1,88,540,1173
2023/4/1,89,418,980
2023/4/1,90,385,890
2023/4/1,91,259,779
2023/4/1,92,202,634
2023/4/1,93,167,565
2023/4/1,94,128,451
2023/4/1,95,93,350
2023/4/1,96,71,283
2023/4/1,97,42,207
2023/4/1,98,36,145
2023/4/1,99,13,109
2023/4/1,100,9,70
2023/4/1,101,4,59
2023/4/1,102,3,39
2023/4/1,103,0,24
2023/4/1,104,0,6
2023/4/1,105,0,3
2023/4/1,106,0,6
2023/4/1,107,0,2
2023/4/1,108,0,0
2023/4/1,109,0,0
2023/4/1,110,0,0
2023/4/1,111,0,0
2023/4/1,112,0,0
2023/4/1,113,0,0
2023/4/1,114,0,0
2023/4/1,115,0,0
2023/4/1,116,0,0
2023/4/1,117,0,0
2023/4/1,118,0,0
2023/4/1,119,0,0
2023/4/1,120,0,0
2023/5/1,0,1171,1065
2023/5/1,1,1187,1145
2023/5/1,2,1188,1182
2023/5/1,3,1324,1319
2023/5/1,4,1338,1304
2023/5/1,5,1352,1391
2023/5/1,6,1413,1287
2023/5/1,7,1511,1373
2023/5/1,8,1530,1389
2023/5/1,9,1481,1497
2023/5/1,10,1564,1424
2023/5/1,11,1507,1397
2023/5/1,12,1602,1413
2023/5/1,13,1424,1485
2023/5/1,14,1501,1403
2023/5/1,15,1535,1395
2023/5/1,16,1481,1454
2023/5/1,17,1420,1416
2023/5/1,18,1512,1462
2023/5/1,19,1436,1457
2023/5/1,20,1554,1481
2023/5/1,21,1623,1569
2023/5/1,22,1821,1573
2023/5/1,23,1611,1618
2023/5/1,24,1522,1599
2023/5/1,25,1561,1516
2023/5/1,26,1502,1516
2023/5/1,27,1389,1508
2023/5/1,28,1510,1533
2023/5/1,29,1497,1502
2023/5/1,30,1428,1511
2023/5/1,31,1488,1501
2023/5/1,32,1514,1571
2023/5/1,33,1428,1547
2023/5/1,34,1620,1635
2023/5/1,35,1589,1571
2023/5/1,36,1610,1706
2023/5/1,37,1723,1759
2023/5/1,38,1826,1842
2023/5/1,39,1890,1921
2023/5/1,40,1844,1880
2023/5/1,41,1884,1900
2023/5/1,42,1842,1976
2023/5/1,43,1950,2048
2023/5/1,44,2041,2046
2023/5/1,45,2066,2116
2023/5/1,46,2101,2136
2023/5/1,47,2056,2254
2023/5/1,48,2247,2271
2023/5/1,49,2339,2342
2023/5/1,50,2284,2211
2023/5/1,51,2155,2201
2023/5/1,52,1935,2168
2023/5/1,53,2039,2083
2023/5/1,54,1988,2093
2023/5/1,55,1936,2093
2023/5/1,56,1713,1844
2023/5/1,57,1681,1851
2023/5/1,58,1751,1973
2023/5/1,59,1668,1844
2023/5/1,60,1672,1823
2023/5/1,61,1717,1811
2023/5/1,62,1657,1827
2023/5/1,63,1667,1857
2023/5/1,64,1740,1894
2023/5/1,65,1685,1785
2023/5/1,66,1723,1874
2023/5/1,67,1720,1913
2023/5/1,68,1870,1992
2023/5/1,69,1772,2047
2023/5/1,70,1800,2092
2023/5/1,71,2053,2243
2023/5/1,72,2056,2286
2023/5/1,73,2088,2558
2023/5/1,74,2247,2530
2023/5/1,75,2056,2432
2023/5/1,76,1607,2089
2023/5/1,77,845,1232
2023/5/1,78,1188,1663
2023/5/1,79,1197,1731
2023/5/1,80,1188,1686
2023/5/1,81,1191,1631
2023/5/1,82,1052,1615
2023/5/1,83,913,1472
2023/5/1,84,723,1243
2023/5/1,85,789,1395
2023/5/1,86,646,1278
2023/5/1,87,599,1240
2023/5/1,88,537,1176
2023/5/1,89,409,974
2023/5/1,90,389,894
2023/5/1,91,262,794
2023/5/1,92,201,647
2023/5/1,93,167,556
2023/5/1,94,127,445
2023/5/1,95,89,343
2023/5/1,96,73,273
2023/5/1,97,41,216
2023/5/1,98,34,143
2023/5/1,99,13,109
2023/5/1,100,9,69
2023/5/1,101,3,57
2023/5/1,102,3,38
2023/5/1,103,0,24
2023/5/1,104,0,6
2023/5/1,105,0,3
2023/5/1,106,0,6
2023/5/1,107,0,2
2023/5/1,108,0,0
2023/5/1,109,0,0
2023/5/1,110,0,0
2023/5/1,111,0,0
2023/5/1,112,0,0
2023/5/1,113,0,0
2023/5/1,114,0,0
2023/5/1,115,0,0
2023/5/1,116,0,0
2023/5/1,117,0,0
2023/5/1,118,0,0
2023/5/1,119,0,0
2023/5/1,120,0,0
2023/6/1,0,1148,1066
2023/6/1,1,1198,1143
2023/6/1,2,1194,1211
2023/6/1,3,1296,1261
2023/6/1,4,1348,1309
2023/6/1,5,1346,1399
2023/6/1,6,1397,1281
2023/6/1,7,1506,1369
2023/6/1,8,1547,1393
2023/6/1,9,1505,1501
2023/6/1,10,1510,1416
2023/6/1,11,1548,1405
2023/6/1,12,1559,1419
2023/6/1,13,1464,1462
2023/6/1,14,1457,1408
2023/6/1,15,1563,1411
2023/6/1,16,1481,1438
2023/6/1,17,1434,1431
2023/6/1,18,1503,1459
2023/6/1,19,1423,1474
2023/6/1,20,1553,1482
2023/6/1,21,1666,1573
2023/6/1,22,1764,1564
2023/6/1,23,1655,1633
2023/6/1,24,1495,1607
2023/6/1,25,1556,1539
2023/6/1,26,1495,1536
2023/6/1,27,1404,1507
2023/6/1,28,1497,1533
2023/6/1,29,1506,1498
2023/6/1,30,1442,1488
2023/6/1,31,1463,1511
2023/6/1,32,1532,1575
2023/6/1,33,1444,1541
2023/6/1,34,1607,1651
2023/6/1,35,1587,1546
2023/6/1,36,1599,1713
2023/6/1,37,1712,1766
2023/6/1,38,1827,1843
2023/6/1,39,1888,1914
2023/6/1,40,1855,1866
2023/6/1,41,1856,1938
2023/6/1,42,1861,1933
2023/6/1,43,1953,2049
2023/6/1,44,2015,2059
2023/6/1,45,2067,2094
2023/6/1,46,2119,2150
2023/6/1,47,2041,2235
2023/6/1,48,2209,2272
2023/6/1,49,2355,2325
2023/6/1,50,2297,2225
2023/6/1,51,2176,2197
2023/6/1,52,1923,2166
2023/6/1,53,2024,2102
2023/6/1,54,2012,2093
2023/6/1,55,1911,2078
2023/6/1,56,1784,1915
2023/6/1,57,1628,1770
2023/6/1,58,1757,2024
2023/6/1,59,1675,1822
2023/6/1,60,1699,1837
2023/6/1,61,1723,1825
2023/6/1,62,1639,1825
2023/6/1,63,1649,1864
2023/6/1,64,1765,1882
2023/6/1,65,1690,1806
2023/6/1,66,1699,1839
2023/6/1,67,1738,1941
2023/6/1,68,1879,1972
2023/6/1,69,1739,2037
2023/6/1,70,1828,2094
2023/6/1,71,2010,2208
2023/6/1,72,2063,2323
2023/6/1,73,2076,2521
2023/6/1,74,2226,2536
2023/6/1,75,2075,2457
2023/6/1,76,1674,2153
2023/6/1,77,840,1221
2023/6/1,78,1153,1625
2023/6/1,79,1229,1768
2023/6/1,80,1174,1664
2023/6/1,81,1180,1628
2023/6/1,82,1065,1625
2023/6/1,83,936,1484
2023/6/1,84,700,1245
2023/6/1,85,781,1353
2023/6/1,86,657,1310
2023/6/1,87,591,1218
2023/6/1,88,533,1187
2023/6/1,89,421,968
2023/6/1,90,380,909
2023/6/1,91,269,781
2023/6/1,92,194,649
2023/6/1,93,166,546
2023/6/1,94,125,451
2023/6/1,95,86,343
2023/6/1,96,74,269
2023/6/1,97,40,221
2023/6/1,98,34,142
2023/6/1,99,14,106
2023/6/1,100,8,67
2023/6/1,101,4,60
2023/6/1,102,2,33
2023/6/1,103,0,28
2023/6/1,104,0,4
2023/6/1,105,0,4
2023/6/1,106,0,6
2023/6/1,107,0,2
2023/6/1,108,0,0
2023/6/1,109,0,0
2023/6/1,110,0,0
2023/6/1,111,0,0
2023/6/1,112,0,0
2023/6/1,113,0,0
2023/6/1,114,0,0
2023/6/1,115,0,0
2023/6/1,116,0,0
2023/6/1,117,0,0
2023/6/1,118,0,0
2023/6/1,119,0,0
2023/6/1,120,0,0
2023/7/1,0,1132,1072
2023/7/1,1,1207,1139
2023/7/1,2,1170,1200
2023/7/1,3,1306,1248
2023/7/1,4,1345,1300
2023/7/1,5,1360,1417
2023/7/1,6,1390,1275
2023/7/1,7,1498,1380
2023/7/1,8,1543,1388
2023/7/1,9,1499,1485
2023/7/1,10,1502,1415
2023/7/1,11,1535,1420
2023/7/1,12,1570,1406
2023/7/1,13,1489,1455
2023/7/1,14,1448,1409
2023/7/1,15,1559,1428
2023/7/1,16,1486,1439
2023/7/1,17,1421,1428
2023/7/1,18,1479,1450
2023/7/1,19,1418,1488
2023/7/1,20,1573,1464
2023/7/1,21,1661,1567
2023/7/1,22,1725,1556
2023/7/1,23,1684,1641
2023/7/1,24,1503,1618
2023/7/1,25,1515,1517
2023/7/1,26,1537,1527
2023/7/1,27,1402,1546
2023/7/1,28,1486,1538
2023/7/1,29,1498,1469
2023/7/1,30,1438,1501
2023/7/1,31,1471,1497
2023/7/1,32,1550,1576
2023/7/1,33,1415,1551
2023/7/1,34,1614,1622
2023/7/1,35,1561,1568
2023/7/1,36,1603,1683
2023/7/1,37,1709,1769
2023/7/1,38,1812,1847
2023/7/1,39,1892,1908
2023/7/1,40,1847,1858
2023/7/1,41,1870,1933
2023/7/1,42,1850,1932
2023/7/1,43,1944,2058
2023/7/1,44,1981,2020
2023/7/1,45,2082,2129
2023/7/1,46,2130,2116
2023/7/1,47,2036,2222
2023/7/1,48,2209,2280
2023/7/1,49,2344,2344
2023/7/1,50,2307,2191
2023/7/1,51,2194,2207
2023/7/1,52,1927,2193
2023/7/1,53,2042,2104
2023/7/1,54,2012,2104
2023/7/1,55,1929,2056
2023/7/1,56,1787,1970
2023/7/1,57,1626,1732
2023/7/1,58,1749,2013
2023/7/1,59,1677,1853
2023/7/1,60,1704,1822
2023/7/1,61,1704,1833
2023/7/1,62,1658,1829
2023/7/1,63,1630,1870
2023/7/1,64,1793,1893
2023/7/1,65,1687,1811
2023/7/1,66,1698,1819
2023/7/1,67,1717,1956
2023/7/1,68,1874,1957
2023/7/1,69,1753,2014
2023/7/1,70,1812,2117
2023/7/1,71,2004,2176
